window,variable,model,lead,regime,metric,n,mean,ci_lo,ci_hi,median,std
2022-06-01_2022-08-31,t850,HRES,7 days,1,ACC,40,0.6658593830711466,0.630371227941369,0.7001496089793388,0.6712705837792032,0.06456340873559732
2022-06-01_2022-08-31,t850,HRES,7 days,2,ACC,19,0.7350398353126882,0.7257360914593556,0.7430720572642043,0.730719524047745,0.022693306524514352
2022-06-01_2022-08-31,t850,HRES,7 days,3,ACC,71,0.6555925724088342,0.634042241774083,0.6775632546556828,0.6453329726432965,0.0548880353903787
2022-06-01_2022-08-31,t850,HRES,1 days,0,MAE,40,0.5511989059118264,0.5441379858808695,0.55917954548028,0.5530047257966446,0.015627360893722474
2022-06-01_2022-08-31,t850,HRES,1 days,1,MAE,40,0.5486726821192844,0.5434149168466879,0.552612883344759,0.5487538277131208,0.012830007649187302
2022-06-01_2022-08-31,t850,HRES,1 days,2,MAE,31,0.5480596303473609,0.5428062296919792,0.5540466116738717,0.5490755773161062,0.014309440578646436
2022-06-01_2022-08-31,t850,HRES,1 days,3,MAE,71,0.5615324228374615,0.5534008284294788,0.5708432549134134,0.561410519683184,0.022126894886166423
2022-06-01_2022-08-31,t850,HRES,3 days,0,MAE,40,0.8421290503183945,0.8354992158795801,0.8494547561327961,0.8436828612560809,0.01841573617819953
2022-06-01_2022-08-31,t850,HRES,3 days,1,MAE,40,0.8538174772516429,0.8454465824091697,0.8643300857790225,0.8484091671463823,0.02694198977588113
2022-06-01_2022-08-31,t850,HRES,3 days,2,MAE,27,0.8531458029946306,0.8413580179346688,0.8664082463983098,0.8510766627016659,0.024160130425344945
2022-06-01_2022-08-31,t850,HRES,3 days,3,MAE,71,0.8598183513383605,0.8494085664900966,0.8722421797133044,0.861281971728852,0.02938277586231757
2022-06-01_2022-08-31,t850,HRES,5 days,0,MAE,40,1.2192083900422663,1.2012910327386486,1.2392934034956589,1.2185826718339436,0.04326913624645634
2022-06-01_2022-08-31,t850,HRES,5 days,1,MAE,40,1.2483589677001532,1.2273249636582124,1.2785222697659722,1.2429494729015373,0.06304987201953449
2022-06-01_2022-08-31,t850,HRES,5 days,2,MAE,23,1.2638972270955298,1.225131566088777,1.2958441796259026,1.267655448238022,0.06758829042968217
2022-06-01_2022-08-31,t850,HRES,5 days,3,MAE,71,1.244357735112939,1.2232377567320372,1.266078404273643,1.243979421878844,0.05812726618842477
2022-06-01_2022-08-31,t850,HRES,7 days,0,MAE,40,1.6883976448062357,1.6535275971918377,1.7352139571608287,1.6890084637948886,0.09163739848706641
2022-06-01_2022-08-31,t850,HRES,7 days,1,MAE,40,1.7090524408325685,1.6497229881136,1.7732600338263533,1.675303989340735,0.12617402016532303
2022-06-01_2022-08-31,t850,HRES,7 days,2,MAE,19,1.7422948712588575,1.6897031377362577,1.7700587537429764,1.7498369119829473,0.07638163736221365
